id,BDL_10001,BDL_10002,BDL_10003,BDL_10004,BDL_10010,BDL_10011,BDL_10012
L2718,686.0,686.0,26.5,43.299999,1.0,0.0,68.0
L2691,674.0,674.0,19.9,29.1,1.0,0.0,64.0
L2717,656.0,656.0,22.5,28.0,1.0,0.0,68.0
L2719,656.0,656.0,23.0,31.799999,1.0,0.0,68.0
L2690,520.0,520.0,19.0,27.5,1.0,0.0,64.0
L2692,479.0,479.0,20.700001,30.299999,1.0,0.0,64.0
L2721,678.0,678.0,33.599998,49.0,1.0,1.0,68.0
L2716,656.0,656.0,20.299999,43.599998,1.0,1.0,50.0
L2714,650.0,650.0,19.5,36.700001,1.0,1.0,50.0
L2720,443.0,443.0,37.299999,60.599998,1.0,1.0,68.0
L2688,686.0,686.0,21.200001,23.9,1.0,0.0,68.0
L2689,686.0,686.0,20.9,23.5,1.0,0.0,68.0
L2687,618.0,618.0,19.6,22.9,1.0,0.0,68.0
L2807,496.0,496.0,26.0,26.700001,1.0,0.0,107.0
L2700,617.0,617.0,20.9,52.200001,1.0,1.0,50.0
L2806,538.0,538.0,27.799999,55.400002,1.0,1.0,107.0
L2699,520.0,520.0,21.700001,50.200001,1.0,1.0,50.0
L2862,478.0,478.0,26.1,55.299999,1.0,1.0,68.0
L2698,258.0,258.0,21.700001,,1.0,1.0,50.0
L2745,797.0,797.0,26.200001,30.799999,1.0,0.0,103.0
L2758,746.0,746.0,27.5,34.400002,1.0,0.0,60.0
L2755,721.0,721.0,29.6,44.400002,1.0,0.0,60.0
L2759,711.0,711.0,30.700001,38.200001,1.0,0.0,60.0
L2761,524.0,524.0,28.799999,39.0,1.0,0.0,60.0
L2782,617.0,617.0,34.0,67.199997,1.0,1.0,78.0
L2781,576.0,576.0,41.5,73.0,1.0,1.0,78.0
L2783,576.0,576.0,35.0,63.299999,1.0,1.0,78.0
L2790,471.0,471.0,30.0,57.200001,1.0,1.0,64.0
L2789,429.0,429.0,31.700001,60.400002,1.0,1.0,64.0
L2707,661.0,661.0,18.700001,41.299999,1.0,1.0,47.0
L2709,394.0,394.0,23.700001,38.400002,1.0,1.0,47.0
L2730,640.0,640.0,28.9,38.0,1.0,0.0,69.0
L2731,616.0,616.0,21.200001,27.4,1.0,0.0,69.0
L2729,441.0,441.0,24.5,40.700001,1.0,0.0,69.0
L2732,424.0,424.0,23.299999,32.400002,1.0,0.0,69.0
L2733,424.0,424.0,26.5,37.5,1.0,0.0,69.0
L2741,712.0,712.0,54.099998,80.599998,1.0,1.0,73.0
L2787,595.0,595.0,35.400002,68.800003,1.0,1.0,70.0
L2786,453.0,453.0,31.700001,59.299999,1.0,1.0,70.0
L2740,349.0,349.0,44.5,67.400002,1.0,1.0,73.0
L2726,616.0,616.0,25.4,27.0,1.0,0.0,70.0
L2727,616.0,616.0,24.6,27.6,1.0,0.0,70.0
L2738,602.0,602.0,24.5,26.799999,1.0,0.0,73.0
L2768,646.0,646.0,36.299999,62.5,1.0,1.0,61.0
L2769,582.0,582.0,41.0,67.900002,1.0,1.0,61.0
L2772,565.0,565.0,35.200001,60.700001,1.0,1.0,56.0
L2242,1044.0,1044.0,23.200001,25.4,1.0,0.0,62.0
L2771,590.0,590.0,23.4,31.5,1.0,0.0,59.0
L2770,560.0,560.0,24.299999,31.799999,1.0,0.0,59.0
